AXP,BA,CAT,CSCO,CVX,DIS,GS,HD,IBM,SP500
75.8,175.62,93.1,32.42,106.1,113.2,223.32,145.91,169.53,2328.95
76.67,179.02,94.14,32.61,106.17,113.78,226.26,147.31,171.1,2349.01
75.79,177.85,94.39,32.67,105.68,114.19,215.59,147.76,170.05,2342.19
75.55,178.4,93.47,32.65,104.23,113.73,214.09,147.22,161.69,2338.17
80.02,179.3,94.66,32.83,104.88,114.79,218.06,148.72,162.3,2355.84
79.59,180.38,94.32,32.82,104.89,114.44,216.86,150,160.38,2348.69
80.45,182.06,96.81,33.28,105.93,113.7,223.22,151.89,160.75,2374.15
80.63,183.51,104.42,33.42,106.73,115.18,226.63,153.03,160.39,2388.61
80.52,181.71,104.66,33.4,106.08,115.58,226.2,154.22,160.06,2387.45
80.33,183.22,102.68,33.75,105.47,115.84,225.81,156.12,160.32,2388.77
79.25,184.83,102.26,34.07,106.7,115.6,223.8,156.1,160.29,2384.2
79.23,182.39,102,33.97,105.92,114.73,224.85,154.21,158.84,2388.33
79.54,183.44,101.51,34.24,105.36,114.37,225.12,154.95,159.1,2391.17
78.83,183.39,101.54,34.25,106.72,111.62,226.31,155,158.63,2388.13
78.33,183.07,99.39,34.18,104.81,111.17,226.59,154.86,159.05,2389.52
78.32,185.01,99.64,34.39,105.79,111.99,226.87,155.73,155.05,2399.29
78.16,186.02,99.37,34.29,106.68,111.42,225.03,156.89,153.03,2399.38
78.44,186.91,99.29,33.9,105.08,112.07,223.76,157.68,152.11,2396.92
78.65,183.18,100.36,33.74,106.5,109.66,224.88,158.13,151.25,2399.63
77.92,183.94,100.99,33.63,106.21,109.58,224.76,156.2,150.65,2394.44
77.49,183.25,100.71,33.45,105.96,109.69,222.82,156.92,150.37,2390.9
78.33,182.39,102.42,34.23,106.85,109.13,225.12,157.33,151.51,2402.32
78.13,182.7,102.34,34.3,107.25,107.98,225.6,158.26,153.68,2400.67
76.37,178.78,100.14,33.82,104.7,106.31,213.72,156.09,150.93,2357.03
76.38,177.4,100.22,31.38,105.17,106.68,215.16,155.7,150.78,2365.72
76.8,180.76,102.43,31.21,106.52,107.52,215.39,156.3,151.98,2381.73
76.98,183.67,102.29,31.59,106.12,107.63,216.02,155.96,152.64,2394.02
77.2,183.49,103.63,31.76,106.27,107.02,219.64,154.83,152.03,2398.42
77.12,185.25,103.95,31.49,106.22,107.71,223.83,155,152.51,2404.39
77.44,187.07,105.02,31.44,105.11,107.27,222.47,156.46,153.2,2415.07
77.46,186.59,105.66,31.5,104.72,108.41,223.53,154.9,152.49,2415.82
77.09,186.88,105.47,31.68,104.06,108.34,218.42,153.88,151.73,2412.91
76.94,187.63,105.43,31.53,103.48,107.94,211.26,153.51,152.63,2411.8
78.28,187.32,105.65,31.82,104.27,108.21,215.01,155.15,152.67,2430.06
78.49,190.23,105.95,31.98,103.11,107.18,213.31,155.35,152.05,2439.07
78.97,188.95,105.2,31.76,103.19,106.52,213.99,154.79,152.41,2436.1
78.85,186.75,104.55,31.56,104.17,105.5,214.53,154.2,152.37,2429.33
79.81,188.1,103.51,31.61,103.77,105.92,215.78,154.96,150.98,2433.14
79.95,189.93,105.01,31.61,104,104.32,218.76,153.5,152.1,2433.79
80.31,190.03,105.92,31.37,106.4,105.62,222.44,152.96,154.1,2431.77
80.17,190,106.07,31.25,108.04,107.04,221.91,152.18,155.18,2429.39
80.59,191.09,105.75,31.7,108.13,106.56,224.2,153.99,154.25,2440.35
80.84,192.38,104.71,31.6,106.6,106.14,226.51,156.76,153.81,2437.92
80.7,195.45,106.4,31.58,106.33,105.98,223.23,156.77,154.22,2432.46
81.45,196.44,107.6,31.63,108.35,105.51,221.81,156.64,155.38,2433.15
81.88,199.08,107.49,31.99,107.46,105.37,226.13,158.81,154.84,2453.46
82.51,198.33,107.04,31.85,106.48,103.94,225.1,157.67,154.95,2437.03
82.21,199.17,103.47,31.84,104.49,104.8,222.49,156.59,153.79,2435.61
82.25,199.44,103.84,31.85,104.45,104.22,219.77,155.48,154.4,2434.5
82.22,202.23,104.11,32.09,105,104.36,217.19,151.31,154.11,2438.3
82.96,199.98,104.25,32.24,104.14,105.57,220.44,151.42,155.23,2439.07
83.08,198.89,103.93,31.76,104.07,105.41,220.28,152.24,154.75,2419.38
83.97,199.62,106.45,32.08,104.28,106.86,223.22,153.23,155.32,2440.69
83.63,197.46,105.64,31.41,104.12,105.71,224.41,152.16,154.13,2419.7
84.24,197.75,107.46,31.3,104.33,106.25,221.9,153.4,153.83,2423.41
85.1,198.59,106.97,31.33,106.3,107.46,227.28,154.01,155.58,2429.01
84.89,201.81,107.49,31.11,104.62,105.63,228.04,152.69,153.67,2432.54
83.74,201.48,106.51,30.72,103.82,103.35,226.69,152.05,152.36,2409.75
84.33,202.37,106.92,30.9,103.49,103.32,225.28,152.23,152.94,2425.18
84.3,203.96,107.84,30.98,103.04,103.59,225.84,151.18,153.42,2427.43
84.16,206.27,108.24,31.09,103.12,103.84,226.95,150.6,153.19,2425.53
84.82,206.44,108.96,31.16,103.89,104.38,227.39,152.59,153.7,2443.25
